cohort_week,weeks_since_cohort,active_people,cohort_size,retention_rate
2026-06-15 00:00:00-05:00,0,50,50,1.0
2026-06-22 00:00:00-05:00,0,628,628,1.0
2026-06-22 00:00:00-05:00,1,37,628,0.059
2026-06-22 00:00:00-05:00,2,11,628,0.018
2026-06-29 00:00:00-05:00,0,1406,1406,1.0
2026-06-29 00:00:00-05:00,1,68,1406,0.048
2026-06-29 00:00:00-05:00,2,17,1406,0.012
2026-07-06 00:00:00-05:00,0,1079,1079,1.0
2026-07-06 00:00:00-05:00,1,28,1079,0.026
2026-07-13 00:00:00-05:00,0,325,325,1.0
